"filename", "language", "JavaScript", "CSS", "JSON", "Properties", "comment", "blank", "total"
"d:\TaskerZoo\.env", "Properties", 0, 0, 0, 4, 0, 0, 4
"d:\TaskerZoo\app.js", "JavaScript", 322, 0, 0, 0, 44, 67, 433
"d:\TaskerZoo\models\Aforo.js", "JavaScript", 8, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\models\Animales.js", "JavaScript", 12, 0, 0, 0, 0, 4, 16
"d:\TaskerZoo\models\Empleados.js", "JavaScript", 19, 0, 0, 0, 2, 6, 27
"d:\TaskerZoo\models\Eventos.js", "JavaScript", 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Incidencias.js", "JavaScript", 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\RegistrosComportamiento.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"d:\TaskerZoo\models\RegistrosSalud.js", "JavaScript", 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Suministros.js", "JavaScript", 18, 0, 0, 0, 0, 4, 22
"d:\TaskerZoo\models\Zonas.js", "JavaScript", 8, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\package-lock.json", "JSON", 0, 0, 3501, 0, 0, 1, 3502
"d:\TaskerZoo\package.json", "JSON", 0, 0, 24, 0, 0, 1, 25
"d:\TaskerZoo\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"d:\TaskerZoo\public\css\estiloTaskerZoo.css", "CSS", 0, 17, 0, 0, 9, 4, 30
"d:\TaskerZoo\public\css\estiloTaskerZooOutput.css", "CSS", 0, 1520, 0, 0, 176, 407, 2103
"d:\TaskerZoo\public\data\familiasCientificas.json", "JSON", 0, 0, 104, 0, 0, 0, 104
"d:\TaskerZoo\public\data\suministros.json", "JSON", 0, 0, 63, 0, 0, 0, 63
"d:\TaskerZoo\public\data\zonas.json", "JSON", 0, 0, 54, 0, 0, 0, 54
"d:\TaskerZoo\public\data\zoo.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"d:\TaskerZoo\public\js\codigoAnimales.js", "JavaScript", 66, 0, 0, 0, 3, 8, 77
"d:\TaskerZoo\public\js\codigoIndex.js", "JavaScript", 111, 0, 0, 0, 19, 26, 156
"d:\TaskerZoo\public\js\codigoSuministros.js", "JavaScript", 53, 0, 0, 0, 7, 12, 72
"d:\TaskerZoo\public\js\codigoZonas.js", "JavaScript", 66, 0, 0, 0, 4, 15, 85
"d:\TaskerZoo\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 1, 2, 24
"Total", "-", 753, 1537, 3751, 4, 265, 582, 6892
