"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "Properties", "comment", "blank", "total"
"d:\TaskerZoo\.env", "Properties", 0, 0, 0, 0, 4, 0, 0, 4
"d:\TaskerZoo\app.js", "JavaScript", 0, 322, 0, 0, 0, 44, 67, 433
"d:\TaskerZoo\models\Aforo.js", "JavaScript", 0, 8, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\models\Animales.js", "JavaScript", 0, 12, 0, 0, 0, 0, 4, 16
"d:\TaskerZoo\models\Empleados.js", "JavaScript", 0, 19, 0, 0, 0, 2, 6, 27
"d:\TaskerZoo\models\Eventos.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Incidencias.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\RegistrosComportamiento.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"d:\TaskerZoo\models\RegistrosSalud.js", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 15
"d:\TaskerZoo\models\Suministros.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"d:\TaskerZoo\models\Zonas.js", "JavaScript", 0, 8, 0, 0, 0, 0, 4, 12
"d:\TaskerZoo\package-lock.json", "JSON", 0, 0, 0, 3501, 0, 0, 1, 3502
"d:\TaskerZoo\package.json", "JSON", 0, 0, 0, 24, 0, 0, 1, 25
"d:\TaskerZoo\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"d:\TaskerZoo\public\css\estiloTaskerZoo.css", "CSS", 0, 0, 17, 0, 0, 9, 4, 30
"d:\TaskerZoo\public\css\estiloTaskerZooOutput.css", "CSS", 0, 0, 1520, 0, 0, 176, 407, 2103
"d:\TaskerZoo\public\data\familiasCientificas.json", "JSON", 0, 0, 0, 104, 0, 0, 0, 104
"d:\TaskerZoo\public\data\suministros.json", "JSON", 0, 0, 0, 63, 0, 0, 0, 63
"d:\TaskerZoo\public\data\zonas.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 54
"d:\TaskerZoo\public\data\zoo.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 5
"d:\TaskerZoo\public\js\codigoAnimales.js", "JavaScript", 0, 66, 0, 0, 0, 3, 8, 77
"d:\TaskerZoo\public\js\codigoIndex.js", "JavaScript", 0, 111, 0, 0, 0, 19, 26, 156
"d:\TaskerZoo\public\js\codigoSuministros.js", "JavaScript", 0, 53, 0, 0, 0, 7, 12, 72
"d:\TaskerZoo\public\js\codigoZonas.js", "JavaScript", 0, 66, 0, 0, 0, 4, 15, 85
"d:\TaskerZoo\tailwind.config.js", "JavaScript", 0, 21, 0, 0, 0, 1, 2, 24
"d:\TaskerZoo\vistas\404.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TaskerZoo\vistas\ajustes.ejs", "HTML", 145, 0, 0, 0, 0, 5, 14, 164
"d:\TaskerZoo\vistas\animales.ejs", "HTML", 200, 0, 0, 0, 0, 11, 17, 228
"d:\TaskerZoo\vistas\dashboard.ejs", "HTML", 204, 0, 0, 0, 0, 9, 26, 239
"d:\TaskerZoo\vistas\eventos.ejs", "HTML", 130, 0, 0, 0, 0, 10, 17, 157
"d:\TaskerZoo\vistas\incidencias.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TaskerZoo\vistas\index.ejs", "HTML", 126, 0, 0, 0, 0, 15, 19, 160
"d:\TaskerZoo\vistas\partials\header.ejs", "HTML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\TaskerZoo\vistas\partials\nav.ejs", "HTML", 156, 0, 0, 0, 0, 4, 7, 167
"d:\TaskerZoo\vistas\personal.ejs", "HTML", 191, 0, 0, 0, 0, 8, 11, 210
"d:\TaskerZoo\vistas\saludAnimales.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\TaskerZoo\vistas\suministros.ejs", "HTML", 126, 0, 0, 0, 0, 6, 13, 145
"d:\TaskerZoo\vistas\zonas.ejs", "HTML", 104, 0, 0, 0, 0, 5, 12, 121
"Total", "-", 1386, 753, 1537, 3751, 4, 338, 721, 8490
