"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"d:\TaskerZoo\app.js", "JavaScript", 0, 0, 178, 0, 15, 35, 228
"d:\TaskerZoo\package-lock.json", "JSON", 0, 7, 0, 0, 0, 0, 7
"d:\TaskerZoo\package.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\TaskerZoo\public\css\estiloTaskerZooOutput.css", "CSS", 0, 0, 0, 25, 0, 8, 33
"d:\TaskerZoo\public\js\codigoAnimales.js", "JavaScript", 0, 0, 48, 0, 7, 10, 65
"d:\TaskerZoo\public\js\codigoEventos.js", "JavaScript", 0, 0, 105, 0, 7, 12, 124
"d:\TaskerZoo\public\js\codigoSalud.js", "JavaScript", 0, 0, 135, 0, 7, 19, 161
"d:\TaskerZoo\public\js\codigoZonas.js", "JavaScript", 0, 0, 0, 0, -1, 0, -1
"d:\TaskerZoo\vistas\ajustes.ejs", "HTML", 15, 0, 0, 0, 0, 3, 18
"d:\TaskerZoo\vistas\animales.ejs", "HTML", 23, 0, 0, 0, 1, 0, 24
"d:\TaskerZoo\vistas\dashboard.ejs", "HTML", 14, 0, 0, 0, 0, -1, 13
"d:\TaskerZoo\vistas\saludAnimales.ejs", "HTML", 302, 0, 0, 0, 10, 18, 330
"Total", "-", 354, 8, 466, 25, 46, 104, 1003
